url,http_status,canonical,title,title_length,description,description_length,h1,robots,jsonld_types,incoming_source_pages,click_depth_from_home,html_bytes,main_words,note
https://sk-rosa.ru/,200,https://sk-rosa.ru/,"Ремонт квартир, домов и офисов в Москве | ROSA",46,"Ремонт квартир, домов, офисов и помещений под ключ в Москве и области ➤ 6+ лет опыта ➤ По договору ➤ Фиксированные цены ☎ 8(985) 135-49-91",138,Строительная компания ROSA,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; City; ContactPoint; GeoCoordinates; ImageObject; OpeningHoursSpecification; PostalAddress; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,0,95414,832,
https://sk-rosa.ru/turnkey-repair,200,https://sk-rosa.ru/turnkey-repair,Ремонт квартир и домов под ключ в Москве от 10 000 ₽/м² | ROSA,62,"Ремонт квартир, домов и коммерческих помещений под ключ в Москве и МО: демонтаж, инженерия, черновая и чистовая отделка. От 10 000 ₽/м², договор и акт. ☎ 8(985) 135-49-91",170,"Ремонт квартир, домов и коммерческих помещений под ключ в Москве и области","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,96996,1128,
https://sk-rosa.ru/plastering,200,https://sk-rosa.ru/plastering,Штукатурка стен в Москве от 600 ₽/м² | ROSA,43,"Механизированная штукатурка стен в Москве и МО: гипсовая и цементная, по маякам, под обои, покраску и плитку. От 600 ₽/м², договор и акт. ☎ 8(985) 135-49-91",156,Механизированная штукатурка в Москве и области,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,112835,1294,
https://sk-rosa.ru/airless-painting,200,https://sk-rosa.ru/airless-painting,Безвоздушная покраска в Москве от 200 ₽/м² | ROSA,49,"Безвоздушная покраска стен, потолков и фасадов в Москве и МО. Цена от 200 ₽/м², подготовка основания, договор, акт и гарантия. ☎ 8(985) 135-49-91",145,Безвоздушная покраска стен и потолков в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,93095,1172,
https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-sten,200,https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-sten,Безвоздушная покраска стен в Москве от 200 ₽/м² | ROSA,54,"Покраска стен безвоздушным способом в Москве: квартиры, офисы и коммерческие помещения. Цена от 200 ₽/м², укрытие поверхностей, договор и акт.",142,Безвоздушная покраска стен в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",0,unreachable,48907,727,P1: нет входящих HTML-ссылок с других страниц sitemap
https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-potolka,200,https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-potolka,Безвоздушная покраска потолка в Москве от 250 ₽/м² | ROSA,57,"Покраска потолка безвоздушным способом в Москве: ровное нанесение без полос, укрытие помещения, подбор краски, договор и акт. Цена от 250 ₽/м².",143,Безвоздушная покраска потолка в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",0,unreachable,47929,653,P1: нет входящих HTML-ссылок с других страниц sitemap
https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-kvartir,200,https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-kvartir,Безвоздушная покраска квартиры в Москве | ROSA,46,"Безвоздушная покраска квартиры в Москве: стены и потолки после шпаклёвки, укрытие пола, окон и мебели, подбор краски, договор и акт.",132,Безвоздушная покраска квартиры в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",0,unreachable,48834,745,P1: нет входящих HTML-ссылок с других страниц sitemap
https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-fasada,200,https://sk-rosa.ru/moskva/bezvozdushnaya-pokraska-fasada,Безвоздушная покраска фасада в Москве от 350 ₽/м² | ROSA,56,"Безвоздушная покраска фасада в Москве и Московской области: частные дома, коммерческие здания, склады и технические фасады. Осмотр основания, укрытие, смета, договор и акт.",172,Безвоздушная покраска фасада в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",0,unreachable,50021,696,P1: нет входящих HTML-ссылок с других страниц sitemap
https://sk-rosa.ru/moskva/promyshlennaya-bezvozdushnaya-pokraska,200,https://sk-rosa.ru/moskva/promyshlennaya-bezvozdushnaya-pokraska,Промышленная безвоздушная покраска в Москве | ROSA,50,"Промышленная безвоздушная покраска в Москве: склады, цеха, ангары, коммерческие помещения и большие площади. Смета, график работ, договор и акт.",144,Промышленная безвоздушная покраска в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",0,unreachable,50043,669,P1: нет входящих HTML-ссылок с других страниц sitemap
https://sk-rosa.ru/floor-screed,200,https://sk-rosa.ru/floor-screed,Стяжка пола в Москве от 900 ₽/м² | ROSA,39,"Полусухая и цементная стяжка пола в Москве и МО под плитку, ламинат, паркет и тёплый пол. От 900 ₽/м², замер, договор и акт. ☎ 8(985) 135-49-91",143,Механизированная стяжка пола в Москве,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,89903,1159,
https://sk-rosa.ru/soft-roofing,200,https://sk-rosa.ru/soft-roofing,Монтаж мягкой кровли в Москве и МО от 350 ₽/м² | ROSA,53,"Монтаж и ремонт мягкой кровли в Москве и МО: гибкая черепица, ПВХ-мембрана, наплавляемая кровля. От 350 ₽/м², смета, договор и акт. ☎ 8(985) 135-49-91",150,Монтаж мягкой кровли в Москве и МО под ключ,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,94273,1269,
https://sk-rosa.ru/biozashchita,200,https://sk-rosa.ru/biozashchita,Огнебиозащита конструкций в Москве и МО | ROSA,46,"Огнезащитная и биозащитная обработка деревянных и металлических конструкций в Москве и МО. Стропила, чердаки, склады, цеха. Бесплатный выезд и смета.",149,Огнебиозащита конструкций в Москве и МО,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,97610,1134,
https://sk-rosa.ru/fire-protection,200,https://sk-rosa.ru/fire-protection,Огнезащита конструкций в Москве и МО | ROSA,43,"Огнезащита строительных конструкций в Москве и Московской области. Металлоконструкции, воздуховоды, дымоудаление, деревянные элементы и документация.",149,Огнезащита конструкций в Москве и Московской области,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,57709,744,
https://sk-rosa.ru/kompleksnaya-ognezashchita,200,https://sk-rosa.ru/kompleksnaya-ognezashchita,Комплексная и промышленная огнезащита зданий | ROSA,51,"Комплексная и промышленная огнезащита зданий в Москве и Московской области: металлоконструкции, воздуховоды, дымоудаление, деревянные элементы и документация.",158,Комплексная и промышленная огнезащита зданий,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,58473,764,
https://sk-rosa.ru/ognezashchita-derevyannyh-konstruktsiy,200,https://sk-rosa.ru/ognezashchita-derevyannyh-konstruktsiy,Огнезащита деревянных конструкций в Москве и МО | ROSA,54,"Огнезащита деревянных конструкций в Москве и Московской области. Обработка стропил, чердаков, перекрытий, каркасных и несущих элементов.",136,Огнезащита деревянных конструкций в Москве и МО,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,58049,732,
https://sk-rosa.ru/ognezashchita-vozduhovodov,200,https://sk-rosa.ru/ognezashchita-vozduhovodov,Огнезащита воздуховодов в Москве и МО | ROSA,44,"Огнезащита воздуховодов вентиляции и систем дымоудаления в Москве и Московской области. Расчёт, монтаж огнезащитных материалов и исполнительная документация.",157,Огнезащита воздуховодов в Москве и Московской области,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","AdministrativeArea; Answer; BreadcrumbList; City; ContactPoint; FAQPage; GeoCoordinates; ImageObject; ListItem; Offer; OpeningHoursSpecification; PostalAddress; Question; Service; ServiceChannel; UnitPriceSpecification; WebPage; WebSite; ['Organization', 'LocalBusiness', 'HomeAndConstructionBusiness']",388,1,57652,779,
